epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.7629,1.88905,3.07687,1.69363,0.67838,0.45679,0.46468,0.27038,1.63468,1.79168,1.59773,0.000194202,0.000194202,0.000194202
2,81.9248,1.58733,1.87834,1.50358,0.71698,0.57208,0.59942,0.34658,1.47968,1.45465,1.4814,0.000382476,0.000382476,0.000382476
3,119.832,1.4414,1.63737,1.41287,0.71391,0.58248,0.63421,0.37654,1.37335,1.37228,1.3848,0.000562988,0.000562988,0.000562988
4,156.9,1.37836,1.51529,1.36951,0.7662,0.63214,0.69084,0.41868,1.33231,1.2983,1.32058,0.000553073,0.000553073,0.000553073
5,193.506,1.3237,1.41552,1.33229,0.81168,0.65237,0.7246,0.45725,1.269,1.13699,1.30424,0.00054143,0.00054143,0.00054143
6,230.545,1.27432,1.3546,1.30762,0.69808,0.7464,0.77752,0.50277,1.18894,1.0942,1.25514,0.000529788,0.000529788,0.000529788
7,267.241,1.22993,1.28451,1.28378,0.65461,0.80348,0.79026,0.51319,1.15339,1.07042,1.20517,0.000518146,0.000518146,0.000518146
8,303.882,1.21245,1.24694,1.26635,0.60111,0.79925,0.79029,0.52231,1.08208,1.05213,1.17471,0.000506503,0.000506503,0.000506503
9,340.829,1.19166,1.20953,1.25074,0.72907,0.75929,0.78678,0.52162,1.09878,1.01551,1.16319,0.000494861,0.000494861,0.000494861
10,377.48,1.15882,1.17017,1.22836,0.72251,0.83803,0.832,0.54701,1.0508,0.97299,1.15027,0.000483218,0.000483218,0.000483218
11,415.63,1.12856,1.13115,1.21434,0.67223,0.83574,0.79164,0.54074,1.04681,0.9698,1.13124,0.000471576,0.000471576,0.000471576
12,454.3,1.124,1.11488,1.21297,0.66927,0.79797,0.80178,0.55494,1.123,0.94866,1.18076,0.000459934,0.000459934,0.000459934
13,491.125,1.10711,1.09337,1.20607,0.67978,0.83423,0.81242,0.55082,1.02092,0.91706,1.13157,0.000448291,0.000448291,0.000448291
14,527.295,1.09387,1.07449,1.19098,0.70204,0.81026,0.82113,0.57909,0.98961,0.93876,1.10802,0.000436649,0.000436649,0.000436649
15,563.752,1.08905,1.05606,1.18796,0.68852,0.81781,0.84993,0.59252,0.9857,0.9263,1.11111,0.000425006,0.000425006,0.000425006
16,600.409,1.05686,1.03495,1.17515,0.73717,0.75944,0.81641,0.59594,0.95893,0.89218,1.09234,0.000413364,0.000413364,0.000413364
17,636.982,1.03286,1.00578,1.16513,0.76098,0.87916,0.83904,0.61769,0.94661,0.86354,1.08115,0.000401722,0.000401722,0.000401722
18,673.399,1.03182,0.99634,1.16131,0.73958,0.8016,0.84071,0.61139,0.92824,0.85502,1.06732,0.000390079,0.000390079,0.000390079
19,710.459,1.02537,0.97088,1.14828,0.76472,0.84924,0.83701,0.60797,0.91658,0.84248,1.0602,0.000378437,0.000378437,0.000378437
20,746.719,1.01062,0.96723,1.14472,0.80885,0.80824,0.86648,0.63262,0.90609,0.83091,1.05568,0.000366794,0.000366794,0.000366794
21,783.714,1.00646,0.95279,1.14173,0.77591,0.81743,0.86328,0.63858,0.88043,0.79037,1.03531,0.000355152,0.000355152,0.000355152
22,820.321,0.9869,0.93429,1.13399,0.77419,0.83534,0.86008,0.63722,0.87821,0.78185,1.02944,0.00034351,0.00034351,0.00034351
23,857.158,0.97975,0.92666,1.12528,0.80801,0.84149,0.87049,0.66276,0.86812,0.77978,1.0186,0.000331867,0.000331867,0.000331867
24,893.454,0.96488,0.9065,1.11594,0.81622,0.8312,0.87155,0.6598,0.8543,0.76728,1.02053,0.000320225,0.000320225,0.000320225
25,929.933,0.96174,0.90163,1.11535,0.77986,0.83937,0.87886,0.6516,0.852,0.749,1.0077,0.000308582,0.000308582,0.000308582
26,966.59,0.94428,0.87753,1.10462,0.77536,0.85034,0.88287,0.67601,0.83151,0.75053,1.00065,0.00029694,0.00029694,0.00029694
27,1004.02,0.9437,0.87507,1.10764,0.79542,0.81608,0.87783,0.67952,0.8286,0.76141,1.00677,0.000285298,0.000285298,0.000285298
28,1040.93,0.92802,0.87037,1.09835,0.86526,0.81883,0.89095,0.67309,0.81277,0.72309,0.99158,0.000273655,0.000273655,0.000273655
29,1077.88,0.92356,0.86365,1.10177,0.83588,0.83159,0.90052,0.68932,0.79616,0.70446,0.98639,0.000262013,0.000262013,0.000262013
30,1114.71,0.91019,0.83725,1.09197,0.87338,0.81744,0.89366,0.69609,0.78995,0.70032,0.98088,0.00025037,0.00025037,0.00025037
31,1151.33,0.90438,0.83011,1.08518,0.82162,0.83547,0.87611,0.67941,0.79247,0.68169,0.97539,0.000238728,0.000238728,0.000238728
32,1188.42,0.90433,0.82658,1.08625,0.82689,0.83444,0.8883,0.69233,0.77929,0.66802,0.9671,0.000227086,0.000227086,0.000227086
33,1225.9,0.89945,0.83139,1.08601,0.81256,0.84538,0.88973,0.69617,0.7797,0.66626,0.97155,0.000215443,0.000215443,0.000215443
34,1262.47,0.87574,0.79985,1.07632,0.82684,0.85269,0.89942,0.70811,0.75733,0.65012,0.96253,0.000203801,0.000203801,0.000203801
35,1299.31,0.87318,0.79559,1.07352,0.84144,0.88016,0.91107,0.70712,0.7376,0.65126,0.95448,0.000192158,0.000192158,0.000192158
36,1335.52,0.85832,0.78046,1.06393,0.78678,0.90736,0.88332,0.71526,0.73952,0.63017,0.95003,0.000180516,0.000180516,0.000180516
37,1372.24,0.86047,0.78653,1.06826,0.78271,0.90335,0.89538,0.71956,0.72806,0.62136,0.94533,0.000168874,0.000168874,0.000168874
38,1408.7,0.83733,0.76059,1.05696,0.7931,0.91958,0.89773,0.71937,0.70869,0.60649,0.93455,0.000157231,0.000157231,0.000157231
39,1445.41,0.83237,0.74807,1.04649,0.77945,0.90318,0.89036,0.72001,0.70615,0.59825,0.93171,0.000145589,0.000145589,0.000145589
40,1482.14,0.82794,0.74908,1.05031,0.77356,0.87513,0.89711,0.73232,0.69541,0.58658,0.92693,0.000133946,0.000133946,0.000133946
