epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.7064,2.04898,4.26076,1.718,0.00661,0.23436,0.05199,0.02884,1.83678,4.21003,1.53517,4.002e-05,4.002e-05,4.002e-05
2,52.3371,1.99959,3.98328,1.66141,0.01418,0.31234,0.09979,0.06664,1.64283,4.13906,1.36383,8.49931e-05,8.49931e-05,8.49931e-05
3,77.0714,1.91899,3.47613,1.51837,0.01479,0.41698,0.11885,0.07569,1.71066,3.97422,1.38532,0.000128117,0.000128117,0.000128117
4,101.564,1.93134,3.0422,1.50783,0.99119,0.06667,0.12876,0.07885,1.82212,3.73403,1.42138,0.000169393,0.000169393,0.000169393
5,126.069,1.83525,2.65961,1.46485,0.98148,0.08526,0.19271,0.11283,1.93282,3.50433,1.47898,0.000208819,0.000208819,0.000208819
6,151.201,1.89779,2.50278,1.47988,0.87623,0.10467,0.24715,0.11488,1.97901,3.38875,1.50613,0.000246396,0.000246396,0.000246396
7,175.444,1.88114,2.40575,1.4825,0.92202,0.11951,0.27731,0.15444,1.87872,3.22712,1.41507,0.000282125,0.000282125,0.000282125
8,199.878,1.85338,2.2382,1.45236,0.93654,0.11189,0.26898,0.15363,1.85995,3.09871,1.40443,0.000316005,0.000316005,0.000316005
9,224.639,1.78463,2.1291,1.41649,0.90532,0.18198,0.28638,0.16987,1.82549,2.80116,1.37369,0.000348035,0.000348035,0.000348035
10,248.721,1.77791,1.97029,1.40996,0.64163,0.24742,0.33956,0.19864,1.85008,2.56521,1.3625,0.000378217,0.000378217,0.000378217
11,273.091,1.73831,1.91391,1.38729,0.70896,0.35877,0.42908,0.2269,1.87113,2.40652,1.37667,0.00040655,0.00040655,0.00040655
12,298.727,1.7261,1.7888,1.39078,0.65442,0.34033,0.43916,0.24608,1.83124,2.39212,1.37209,0.000433034,0.000433034,0.000433034
13,322.57,1.71507,1.83916,1.36099,0.65516,0.34536,0.43176,0.2498,1.81085,2.3567,1.35781,0.000457669,0.000457669,0.000457669
14,346.865,1.67851,1.75396,1.35882,0.4413,0.43775,0.44399,0.26656,1.77837,2.33461,1.36264,0.000480455,0.000480455,0.000480455
15,371.237,1.73869,1.74535,1.39772,0.45738,0.43975,0.46129,0.27468,1.74417,2.52726,1.36544,0.000482108,0.000482108,0.000482108
16,395.508,1.66194,1.68616,1.33165,0.51535,0.46795,0.49517,0.28012,1.70718,2.14494,1.35692,0.000468901,0.000468901,0.000468901
17,419.585,1.65371,1.69579,1.34478,0.49288,0.46951,0.48194,0.27514,1.72183,2.03078,1.35021,0.000455694,0.000455694,0.000455694
18,443.57,1.65491,1.69317,1.33138,0.61177,0.45268,0.42993,0.2475,1.74126,2.0588,1.34071,0.000442488,0.000442488,0.000442488
19,467.688,1.58016,1.61728,1.31994,0.59069,0.47447,0.46041,0.27023,1.73305,2.03604,1.34162,0.000429281,0.000429281,0.000429281
20,491.994,1.5506,1.5798,1.2839,0.62887,0.49362,0.50656,0.2963,1.71107,1.82883,1.34272,0.000416075,0.000416075,0.000416075
21,516.121,1.5885,1.57807,1.31389,0.45286,0.54742,0.50773,0.29933,1.70199,1.77766,1.33429,0.000402868,0.000402868,0.000402868
22,540.079,1.59745,1.5972,1.30371,0.5492,0.49404,0.53183,0.32019,1.68657,1.82377,1.30876,0.000389661,0.000389661,0.000389661
23,564.174,1.55687,1.49285,1.28327,0.66597,0.54959,0.54107,0.32922,1.65173,1.869,1.30059,0.000376455,0.000376455,0.000376455
24,588.229,1.54817,1.54304,1.2881,0.86085,0.48345,0.53786,0.30959,1.70215,1.80893,1.30748,0.000363248,0.000363248,0.000363248
25,612.234,1.50448,1.53141,1.28209,0.8494,0.49247,0.54233,0.30819,1.69319,1.77427,1.30389,0.000350042,0.000350042,0.000350042
26,636.34,1.49735,1.51394,1.27799,0.55098,0.53294,0.54567,0.31244,1.68981,1.73062,1.2915,0.000336835,0.000336835,0.000336835
27,660.272,1.47098,1.44194,1.26156,0.58435,0.52104,0.55081,0.32193,1.6569,1.71506,1.28321,0.000323628,0.000323628,0.000323628
28,683.806,1.47719,1.47032,1.27127,0.71263,0.51757,0.54851,0.31593,1.68186,1.72994,1.29823,0.000310422,0.000310422,0.000310422
29,707.972,1.48263,1.45577,1.26922,0.6927,0.51404,0.55705,0.31734,1.68235,1.7264,1.29657,0.000297215,0.000297215,0.000297215
30,731.416,1.45603,1.44918,1.2634,0.78159,0.50897,0.55489,0.3203,1.68193,1.74808,1.28855,0.000284009,0.000284009,0.000284009
31,755.145,1.45745,1.39058,1.24932,0.79044,0.53368,0.54633,0.3207,1.70927,1.76192,1.29605,0.000270802,0.000270802,0.000270802
32,779.047,1.45919,1.39827,1.25418,0.6201,0.52882,0.52173,0.31924,1.69553,1.73069,1.2851,0.000257595,0.000257595,0.000257595
33,802.826,1.41012,1.39652,1.23794,0.5927,0.54332,0.53795,0.32512,1.67563,1.70805,1.2771,0.000244389,0.000244389,0.000244389
34,826.882,1.39321,1.36337,1.23039,0.59171,0.55726,0.56992,0.32853,1.67384,1.66393,1.27195,0.000231182,0.000231182,0.000231182
35,851.225,1.39934,1.35853,1.22017,0.61757,0.54585,0.57696,0.3362,1.66961,1.65913,1.2727,0.000217976,0.000217976,0.000217976
36,875.244,1.32536,1.29501,1.19402,0.61334,0.55304,0.58115,0.33228,1.65,1.63038,1.26873,0.000204769,0.000204769,0.000204769
37,899.273,1.37506,1.33192,1.21664,0.6115,0.53961,0.58057,0.33818,1.63585,1.62129,1.26563,0.000191562,0.000191562,0.000191562
38,923.099,1.34106,1.30425,1.19792,0.70246,0.53345,0.58011,0.3418,1.61666,1.61597,1.25515,0.000178356,0.000178356,0.000178356
39,947.058,1.38726,1.37792,1.21452,0.64653,0.53818,0.58195,0.34465,1.59235,1.6023,1.2458,0.000165149,0.000165149,0.000165149
40,971.793,1.3845,1.32942,1.20194,0.61648,0.5488,0.58076,0.33397,1.58188,1.5916,1.24007,0.000151943,0.000151943,0.000151943
41,995.612,1.52317,1.71679,1.30241,0.59239,0.56135,0.58382,0.33438,1.59287,1.59711,1.24269,0.000138736,0.000138736,0.000138736
42,1018.42,1.42581,1.55541,1.2556,0.56141,0.5778,0.58614,0.33361,1.6486,1.62925,1.24906,0.000125529,0.000125529,0.000125529
43,1042.1,1.44838,1.55445,1.2655,0.55621,0.57655,0.58644,0.33556,1.65763,1.7054,1.25055,0.000112323,0.000112323,0.000112323
44,1065.19,1.43695,1.55561,1.25868,0.54405,0.56324,0.58801,0.33933,1.63611,1.74885,1.24451,9.91162e-05,9.91162e-05,9.91162e-05
45,1087.91,1.41161,1.56697,1.25339,0.59998,0.51928,0.5855,0.34582,1.62545,1.73274,1.24267,8.59096e-05,8.59096e-05,8.59096e-05
46,1110.9,1.40144,1.52989,1.24348,0.69219,0.51916,0.58247,0.3471,1.60088,1.66721,1.23813,7.2703e-05,7.2703e-05,7.2703e-05
47,1133.93,1.37909,1.4954,1.22358,0.70439,0.5186,0.58273,0.35141,1.59371,1.61936,1.23292,5.94964e-05,5.94964e-05,5.94964e-05
48,1157.47,1.33139,1.4486,1.21916,0.58534,0.57175,0.58472,0.35148,1.58891,1.59727,1.23059,4.62898e-05,4.62898e-05,4.62898e-05
49,1180.62,1.34349,1.47384,1.23739,0.60505,0.56809,0.58498,0.3516,1.58755,1.59355,1.23027,3.30832e-05,3.30832e-05,3.30832e-05
50,1204.38,1.39161,1.47635,1.25368,0.61497,0.56069,0.58611,0.35286,1.57661,1.58729,1.22743,1.98766e-05,1.98766e-05,1.98766e-05
