epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,142.632,1.88538,3.73634,1.8571,0.11253,0.83908,0.24165,0.10976,1.58069,3.79121,1.5807,0.00010584,0.00010584,0.00010584
2,276.496,1.70565,2.74175,1.67777,0.91667,0.23173,0.33769,0.14982,1.6541,3.13072,1.55083,0.000213252,0.000213252,0.000213252
3,411.29,1.50073,2.13863,1.60666,0.66247,0.55269,0.77868,0.39931,1.77223,2.4506,1.73788,0.000316241,0.000316241,0.000316241
4,548.252,1.42904,1.77537,1.53943,0.75458,0.79069,0.81143,0.44056,1.58931,1.78363,1.53883,0.000414805,0.000414805,0.000414805
5,689.723,1.32714,1.58578,1.47474,0.82236,0.876,0.86656,0.48963,1.40121,1.48514,1.36503,0.000508945,0.000508945,0.000508945
6,815.56,1.25903,1.54363,1.4198,0.72421,0.87612,0.83248,0.50581,1.33132,1.50251,1.35796,0.000529788,0.000529788,0.000529788
7,945.443,1.25116,1.462,1.40227,0.8247,0.86957,0.86244,0.51106,1.33302,1.47246,1.36149,0.000518146,0.000518146,0.000518146
8,1076.95,1.2021,1.43575,1.36313,0.79946,0.8861,0.86739,0.50162,1.30203,1.37301,1.36307,0.000506503,0.000506503,0.000506503
9,1209.22,1.15528,1.31815,1.35978,0.84815,0.79461,0.86741,0.51481,1.29044,1.35899,1.39205,0.000494861,0.000494861,0.000494861
10,1342.9,1.17887,1.33592,1.34727,0.85291,0.83033,0.90151,0.52678,1.29911,1.34596,1.33186,0.000483218,0.000483218,0.000483218
11,1481.42,1.13198,1.32113,1.30909,0.86414,0.85253,0.90051,0.54307,1.18542,1.25542,1.27512,0.000471576,0.000471576,0.000471576
12,1617.24,1.0933,1.20709,1.27785,0.75167,0.9032,0.84089,0.54526,1.17262,1.21549,1.24876,0.000459934,0.000459934,0.000459934
13,1748.88,1.08572,1.237,1.27142,0.80124,0.87979,0.86341,0.52568,1.11036,1.25519,1.22821,0.000448291,0.000448291,0.000448291
14,1879.52,1.06161,1.19521,1.24938,0.80862,0.83823,0.88989,0.54533,1.09588,1.21453,1.21156,0.000436649,0.000436649,0.000436649
15,2019.59,1.04829,1.14861,1.23909,0.9079,0.85503,0.91303,0.56458,1.10305,1.14254,1.18646,0.000425006,0.000425006,0.000425006
16,2138.77,1.08369,1.15192,1.26307,0.86276,0.94496,0.91887,0.58694,1.1157,1.07883,1.22181,0.000413364,0.000413364,0.000413364
17,2256.45,1.02223,1.10185,1.23659,0.86243,0.8681,0.91037,0.58109,1.06922,1.09423,1.17151,0.000401722,0.000401722,0.000401722
18,2377.25,0.98675,1.09297,1.21645,0.83497,0.95458,0.9391,0.59189,0.99725,1.08937,1.14123,0.000390079,0.000390079,0.000390079
19,2496.64,1.0045,1.12666,1.22196,0.94659,0.86711,0.96467,0.58169,1.10377,1.12387,1.19731,0.000378437,0.000378437,0.000378437
20,2613.11,1.0027,1.08482,1.21792,0.77013,0.93654,0.89114,0.59826,1.05513,1.00979,1.1755,0.000366794,0.000366794,0.000366794
21,2731.69,0.99776,1.07776,1.20409,0.81579,0.89685,0.90035,0.55467,1.11338,1.07112,1.21054,0.000355152,0.000355152,0.000355152
22,2849.63,0.98328,1.06994,1.20589,0.81094,0.84598,0.86505,0.55483,1.04768,1.05373,1.16971,0.00034351,0.00034351,0.00034351
23,2968.25,0.96553,1.02298,1.20192,0.84913,0.81851,0.89985,0.57325,1.05774,1.02503,1.16671,0.000331867,0.000331867,0.000331867
24,3087.81,0.94375,0.99591,1.17387,0.81602,0.82826,0.8548,0.55324,1.14952,0.99068,1.21839,0.000320225,0.000320225,0.000320225
25,3205.19,0.94983,1.03815,1.18414,0.83275,0.86662,0.93213,0.60383,1.06626,0.99348,1.16799,0.000308582,0.000308582,0.000308582
26,3323.19,0.92322,1.01518,1.15457,0.87536,0.89212,0.93711,0.61927,0.96087,0.95814,1.09904,0.00029694,0.00029694,0.00029694
27,3440.81,0.93396,0.98722,1.15705,0.85807,0.90066,0.92138,0.60345,1.00139,0.91681,1.12003,0.000285298,0.000285298,0.000285298
28,3560.65,0.92097,0.94478,1.16686,0.87661,0.85928,0.91827,0.60957,0.98165,0.91744,1.12184,0.000273655,0.000273655,0.000273655
