epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.7887,2.00303,4.22444,1.72425,0.00698,0.23539,0.04586,0.02733,1.82844,4.20441,1.53748,4.002e-05,4.002e-05,4.002e-05
2,103.439,1.94557,3.97608,1.65965,0.01395,0.31885,0.10098,0.06849,1.66186,4.13171,1.38346,8.49931e-05,8.49931e-05,8.49931e-05
3,158.177,1.92814,3.53191,1.5664,0.01332,0.38064,0.12129,0.07912,1.76092,3.99951,1.38537,0.000128117,0.000128117,0.000128117
4,209.668,1.95462,3.09937,1.5528,1,0.05966,0.13203,0.08865,1.81768,3.76528,1.41322,0.000169393,0.000169393,0.000169393
5,247.496,1.88502,2.88886,1.49924,0.98443,0.10385,0.20335,0.12824,1.93952,3.51115,1.51152,0.000208819,0.000208819,0.000208819
6,283.188,1.93791,2.55957,1.50509,0.91985,0.11696,0.23058,0.13382,1.98402,3.38174,1.53513,0.000246396,0.000246396,0.000246396
7,304.584,1.94372,2.45486,1.50356,0.90696,0.12336,0.25836,0.16206,1.93951,3.21557,1.47365,0.000282125,0.000282125,0.000282125
8,324.145,1.84442,2.19577,1.46209,0.83422,0.12918,0.27064,0.17332,1.86039,3.0609,1.41331,0.000316005,0.000316005,0.000316005
9,343.721,1.79427,2.04724,1.43364,0.95051,0.15116,0.36273,0.22649,1.77413,2.72223,1.36395,0.000348035,0.000348035,0.000348035
10,369.103,1.78089,1.98366,1.40765,0.84944,0.25681,0.42461,0.24763,1.81914,2.56152,1.36511,0.000378217,0.000378217,0.000378217
11,395.109,1.76928,1.88114,1.40881,0.79584,0.29366,0.45801,0.25803,1.83268,2.51246,1.35643,0.00040655,0.00040655,0.00040655
12,421.095,1.714,1.86764,1.38567,0.46268,0.3614,0.42125,0.22936,1.8805,2.56226,1.37022,0.000433034,0.000433034,0.000433034
13,447.01,1.69279,1.77041,1.34646,0.392,0.38657,0.41707,0.23726,1.8516,2.5331,1.36128,0.000457669,0.000457669,0.000457669
14,470.974,1.70039,1.67827,1.34436,0.36576,0.43164,0.4079,0.23372,1.77989,2.3154,1.34091,0.000480455,0.000480455,0.000480455
15,497.174,1.67484,1.71605,1.34782,0.42562,0.45063,0.45745,0.27959,1.76685,2.10606,1.33632,0.000482108,0.000482108,0.000482108
16,523.658,1.67721,1.66021,1.34628,0.43369,0.46776,0.46706,0.27737,1.71706,2.04205,1.32118,0.000468901,0.000468901,0.000468901
17,549.994,1.60291,1.62354,1.30249,0.61402,0.46629,0.47333,0.29327,1.69125,2.01684,1.30384,0.000455694,0.000455694,0.000455694
18,576.403,1.60109,1.5839,1.29772,0.6864,0.46402,0.51335,0.31799,1.67723,1.95172,1.29544,0.000442488,0.000442488,0.000442488
19,602.382,1.58534,1.61333,1.30684,0.69125,0.48546,0.52469,0.31505,1.67419,1.86231,1.29241,0.000429281,0.000429281,0.000429281
20,627.828,1.58451,1.58593,1.28824,0.7569,0.49923,0.53735,0.30879,1.66416,1.79793,1.28821,0.000416075,0.000416075,0.000416075
