epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.7323,1.85844,7.10891,4.1924,1.97166,0.00624,0.35714,0.05048,0.02396,0.00483,0.25,0.06341,0.02013,1.56107,6.78873,4.4838,1.68909,0,0,0
2,10.7318,1.89656,8.33299,4.23871,2.05207,0.00603,0.35714,0.05441,0.02482,0.00463,0.25,0.05038,0.01958,1.56346,6.74452,4.49118,1.69011,6.53793e-06,6.53793e-06,6.53793e-06
3,15.8542,1.81414,7.09281,4.01759,1.91896,0.00594,0.35714,0.05652,0.02574,0.00455,0.25,0.05349,0.02083,1.57238,6.70054,4.50277,1.70405,1.28117e-05,1.28117e-05,1.28117e-05
4,20.8803,1.63664,7.25794,4.03676,1.87055,0.00641,0.35714,0.05658,0.02852,0.005,0.25,0.07227,0.02622,1.59482,6.56409,4.49516,1.71056,1.88214e-05,1.88214e-05,1.88214e-05
5,25.7026,1.80721,7.62771,3.92223,1.87194,0.00749,0.35714,0.06722,0.03317,0.0061,0.25,0.07895,0.02899,1.63438,6.43612,4.49712,1.74085,2.45669e-05,2.45669e-05,2.45669e-05
6,30.6965,1.79547,6.89463,3.8894,1.9426,0.00926,0.35714,0.06929,0.03763,0.00787,0.25,0.08381,0.031,1.68242,6.2727,4.48617,1.77127,3.00483e-05,3.00483e-05,3.00483e-05
7,35.3892,1.75076,6.45163,3.96559,1.81629,0.01334,0.35714,0.06884,0.0418,0.01238,0.28571,0.08596,0.03419,1.70883,5.99301,4.46867,1.79502,3.52656e-05,3.52656e-05,3.52656e-05
8,40.3044,1.68482,5.79013,3.97767,1.87065,0.01436,0.32143,0.07237,0.04386,0.01385,0.28571,0.08819,0.03548,1.74285,5.80056,4.45472,1.81863,4.02188e-05,4.02188e-05,4.02188e-05
9,44.9388,1.82737,5.93561,3.94151,1.88486,0.01889,0.35714,0.07846,0.05038,0.01779,0.28571,0.08954,0.04171,1.71788,5.55538,4.458,1.80666,4.49078e-05,4.49078e-05,4.49078e-05
10,49.5147,1.95967,5.21708,4.05465,1.98606,0.02342,0.35714,0.0769,0.05259,0.0223,0.28571,0.09374,0.03828,1.70381,5.4065,4.44829,1.77833,4.93327e-05,4.93327e-05,4.93327e-05
11,54.2163,1.85531,4.81009,3.96366,1.89299,0.03115,0.35714,0.07752,0.05402,0.02999,0.28571,0.10057,0.03952,1.68839,5.15074,4.45063,1.75843,5.34934e-05,5.34934e-05,5.34934e-05
12,58.7832,1.5708,4.04556,3.95729,1.70231,0.03522,0.35714,0.07772,0.05615,0.03396,0.28571,0.08403,0.04111,1.71116,4.8952,4.44315,1.74207,5.739e-05,5.739e-05,5.739e-05
13,63.523,1.70353,4.28483,3.82436,1.86333,0.0405,0.35714,0.07617,0.05538,0.03914,0.28571,0.07516,0.03964,1.72174,4.7543,4.44239,1.72317,6.10225e-05,6.10225e-05,6.10225e-05
14,68.3888,1.75442,4.50143,3.76558,1.86644,0.04065,0.35714,0.07922,0.05666,0.04002,0.41071,0.08222,0.04543,1.68917,4.59046,4.44416,1.7073,6.43908e-05,6.43908e-05,6.43908e-05
15,73.4699,1.60506,3.76894,3.67109,1.78149,0.03678,0.35714,0.08627,0.05178,0.03603,0.41071,0.08418,0.0447,1.65489,4.4171,4.44295,1.69402,6.74951e-05,6.74951e-05,6.74951e-05
16,78.2396,1.85506,3.69695,3.76089,1.8506,0.03936,0.35714,0.08655,0.04704,0.0386,0.41071,0.08626,0.05056,1.61228,4.41156,4.45354,1.6689,7.03351e-05,7.03351e-05,7.03351e-05
17,82.9486,1.843,3.66101,3.57451,1.91768,0.04008,0.32143,0.0858,0.04278,0.04007,0.41071,0.09608,0.05427,1.60815,4.37758,4.45576,1.65512,7.29111e-05,7.29111e-05,7.29111e-05
18,87.8008,1.75863,3.2559,3.71576,1.84732,0.04008,0.32143,0.0858,0.04278,0.04007,0.41071,0.09608,0.05427,1.60815,4.37758,4.45576,1.65512,7.52229e-05,7.52229e-05,7.52229e-05
19,92.6024,1.83835,3.68217,3.68366,1.99071,0.0387,0.32143,0.08914,0.04398,0.03865,0.41071,0.10087,0.05818,1.56183,4.35826,4.4706,1.62592,7.72706e-05,7.72706e-05,7.72706e-05
20,97.3598,1.59694,2.77152,3.53922,1.76112,0.0387,0.32143,0.08914,0.04398,0.03865,0.41071,0.10087,0.05818,1.56183,4.35826,4.4706,1.62592,7.90542e-05,7.90542e-05,7.90542e-05
21,102.233,1.8137,3.01478,3.53029,1.81527,0.04524,0.32143,0.07955,0.04346,0.04512,0.41071,0.09528,0.0554,1.55209,4.42088,4.45648,1.61184,8.05736e-05,8.05736e-05,8.05736e-05
22,107.054,1.738,3.13349,3.68863,1.71054,0.04524,0.32143,0.07955,0.04346,0.04512,0.41071,0.09528,0.0554,1.55209,4.42088,4.45648,1.61184,8.18289e-05,8.18289e-05,8.18289e-05
23,111.821,1.55274,3.03419,3.46239,1.78147,0.07455,0.40476,0.11726,0.06425,0.07437,0.49405,0.13264,0.07183,1.57603,4.29798,4.44736,1.61286,8.28201e-05,8.28201e-05,8.28201e-05
24,116.497,1.50353,2.61069,3.34514,1.67383,0.07455,0.40476,0.11726,0.06425,0.07437,0.49405,0.13264,0.07183,1.57603,4.29798,4.44736,1.61286,8.35471e-05,8.35471e-05,8.35471e-05
